"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Nov 22 11:06:42 EET 2021","Mon Nov 22 11:06:42 EET 2021","89","","shoud test","","shoud test","should test","should test",""
"passed","Thu Nov 25 11:33:45 EET 2021","Thu Nov 25 11:33:46 EET 2021","1303","","test","","test","should test","should test",""
